r1,r2,r3,r4,t,d1,d2,h,p,freq_ghz,rotation
8.416283028649854,6.8049041500445,5.799462575221976,3.0627319364873813,1.0237526878544223,3.012166502895142,1.979985556904124,1.6660103167140092,9.39969564890838,6.6,0
8.799754893345971,6.934114539106665,5.735298523865227,3.04834071835455,1.013548027373846,2.9427124909721507,2.038955765128696,1.6730526893972597,9.519365918600805,6.6,0
8.567355718303189,6.5848663935108736,5.638706466233056,3.032555667797517,0.980887496651972,3.026250734917192,1.9503297788448644,1.1851431676903554,8.518640118277581,6.8,0
9.12545264524025,6.515439702160271,5.867809660579876,3.0089905448392367,1.0082234383603192,3.0071008748032924,2.017789072727809,1.186342294516184,8.747188530847767,6.8,0
8.620574020904897,6.851719432672019,5.626542148295716,2.9963848892159226,0.9785607489541956,3.027301423220852,2.057805038277061,1.1881589229202636,8.466529431220335,6.8,0
8.50605664842618,6.66927478442399,5.518421454391746,2.94522732079687,1.0045357209221828,3.0791407918644835,2.11236843444918,1.1760392749753126,8.744001026629725,6.8,0
9.546312971276311,7.477312852988043,5.345855011882972,3.504334153857597,1.0022079145122444,0.9918333367434666,1.944075613608046,1.4536912439243377,9.11758407899062,7.0,0
9.447426982883714,7.410586665051575,5.300901596432654,3.555645257704094,1.003607278860528,0.9868789012671808,2.0490517182259578,1.5473755650894487,9.089020197958114,7.0,0
9.684996067155378,7.686293999522072,5.419790527538877,3.542986942397884,1.0119669409414978,1.01039321146693,1.9561064930181185,1.5210216947057875,8.755953485197221,7.0,0
9.34902610352624,7.695534760171213,5.3890633372455845,3.60411788027801,0.994566512326254,0.9769550231744648,1.9903825121171863,1.5030609389172174,9.0142179689412,7.0,0
9.715399290963774,7.445809436249483,5.3373156540111095,2.9406823710339234,1.0090063455608762,1.0000621710037128,1.9700074664686196,1.3137741048385838,7.472373638022717,7.2,0
9.448670525425952,7.765701186340153,5.2895647237553645,2.98536623338936,0.9580509808477972,0.9821158529604104,1.989477063021746,1.301893489348937,7.70725613900667,7.2,0
9.46866182267472,7.693266637397738,5.306540691209339,3.0022336701852943,0.99822407104575,1.0000759250324291,2.0687518001219942,1.2587622768137678,7.199768138334199,7.2,0
9.39679754209934,7.502179182290635,5.373151069024986,3.0283852318816487,0.9923150817423886,1.0203808738648352,2.0412078161261094,1.3248591267455694,7.644398635873025,7.2,0
9.45125730952524,7.316900512036134,5.373968584934,3.0066367873547204,1.0000267969350898,1.0294590714437917,1.9019651148583965,0.903631074435032,7.321939436043844,7.4,0
9.331706998257063,7.362317990874628,5.140223481336056,2.9408905180613503,0.9827831664295286,1.0491484818415178,2.072069677909886,0.9223414608310656,7.44546250645398,7.4,0
9.183949648528602,7.117596698842661,5.2876107002406965,2.9401288810053585,0.9983029893667598,0.9679958830191304,1.9695210216675896,0.9327644639726328,7.554931439667591,7.4,0
9.4784847282435,7.204567630344759,5.390596687394369,2.951987298203889,1.0126571582921462,0.9997872264676362,1.944944500036882,0.92411872269479,7.554804561309564,7.4,0
9.312785630007324,7.179697742768004,5.3593050046225095,3.060450646259194,0.994866917672005,1.0150024362427388,2.077351739407528,0.9872492074148776,6.82808001668485,7.6,0
9.029517907547085,7.413828305289674,5.089938770712886,2.9206475320025,0.9902761173860192,1.0084045341894916,1.995904131735556,0.9376392912122936,6.905610255358568,7.6,0
9.06892998014806,7.073350613473113,5.437289819236711,3.0178506642711334,1.0177351810880948,0.9902184506376216,1.992561732912558,0.9364424743539632,6.628760833111312,7.6,0
8.946446293059992,6.939270910082823,4.966022487093033,2.9282784615421136,1.026499113587633,0.9991112766459128,2.051622550492847,0.9578086689611166,7.109558235600122,7.6,0
8.936036746854567,7.17440103549536,5.174328851875583,2.9654011624659784,1.0111908074123233,1.0113237551714966,1.9780178951547969,0.8700147219055764,6.346063316853225,7.8,0
9.115744008629706,7.146435401368083,5.019162365293292,3.001595120479566,1.0114107407227697,1.012363814293306,2.0620752048049,0.9127302588131252,6.369832113741649,7.8,0
9.40641269013592,7.024601336353088,5.206577026870351,3.0040791975630654,0.9917570124308608,0.9638460628045014,1.993137419591346,0.8622429784115602,6.625748900659561,7.8,0
9.376056263599342,6.98683863951987,5.1308010157369655,2.956476508679521,0.9874303053972642,1.0154898940773074,1.9984584695262635,0.920965735146372,6.43730977776862,7.8,0
8.159893813195918,6.011689609554933,5.079577800974423,2.973170540560204,0.9990088232489684,0.9976900224140212,1.9665577154061684,1.013241630691635,8.104039840892538,8.0,0
8.09496875118489,6.184435878470117,5.144934480123631,2.977503318609052,1.0074610463686835,0.9875279862148356,2.0009342126445824,0.9880050110176228,8.259211249461767,8.0,0
8.058191704054874,5.973836504627469,5.119361857185638,2.869763075412276,0.9597179481026942,1.0159167731043954,2.0024187379246947,1.0050089260052153,7.787776623469032,8.0,0
7.996282606263941,6.24042112924816,5.0824199619795865,3.0101823927085687,0.9912189217979012,0.992108542962612,1.9148320844319997,1.0051528084184231,8.135277297357097,8.0,0
7.747900907652702,5.920629972923182,4.884253536776658,2.9420789283114743,1.001069632536438,0.9583119569002304,2.0245708175342827,1.0658309564686077,7.959823585914094,8.2,0
7.603086638402473,5.880429764879714,5.123290193410269,2.8333203431562857,0.9930495317561296,0.9763999844306548,2.0321828120633936,1.0358226070049874,8.064632643317697,8.2,0
8.090473667067055,6.2203471007676026,4.979705805632463,3.0225626621773563,0.9702988904174512,1.023808271265875,1.9695796460771453,1.0382241625541573,7.996440352824126,8.2,0
7.749938504745624,6.0274524034714725,5.096746627292501,3.0175760294098373,0.9682220487164256,0.9975238141134068,2.0296811561191794,1.010562235914716,7.828037437789166,8.2,0
8.140246976653042,6.032411452103673,5.041197158212675,3.1115696884573985,1.009371055570124,1.0131577602086637,2.108429821088733,1.005681147926572,5.412232896001965,8.4,0
8.068447423719542,6.052678923526667,4.947328460805379,2.938056178826709,1.0461968884418016,1.0065368694077603,1.970708584743917,1.028501792106048,5.4879940333282535,8.4,0
7.959538968589147,6.06747274462974,4.870811773176831,3.02115763223503,1.038259096154635,1.0093235532439462,1.9849515158486613,0.9997564733353494,5.454862602932038,8.4,0
7.959365971512355,5.954663216069007,5.091631144107457,2.896007453807461,1.0172400010082427,0.9924062694971488,2.015077911427815,0.9872348442139424,5.646149417353438,8.4,0
8.096810323707157,6.013231682038509,4.751554031972233,3.049747264263963,1.0080971017527145,0.9678945750573488,1.9990281046491676,0.956926155291632,5.561168280120547,8.6,0
7.928007295977919,5.934365307187991,5.044413916440804,3.073562034594641,0.9426589009243452,0.9936512289032464,1.993413958898242,0.9167101271181874,5.510360136405554,8.6,0
8.09730372804086,5.771784992568311,4.932967291991608,2.9450505913622136,0.9865617595264063,1.0295478726834006,1.978297687195527,0.9587820372912018,5.294166007233292,8.6,0
8.19424617470039,5.971112988664167,4.882115015420275,3.034532790599993,0.9718036114210438,1.023650614835053,1.987040608980143,0.9461226792140798,5.445917882353797,8.6,0
7.709418381171688,5.880581790948896,4.824567057610006,3.0391048884841823,0.9998241062102886,1.0102639962215436,1.9832460502429985,0.9819189586184992,4.843206958356951,8.8,0
7.996706222475825,5.958677264283633,4.718192754627303,3.133756416633358,1.0199098056589064,1.0194227801364582,2.001120887481035,0.9359161482254889,4.979059117296039,8.8,0
7.860922773025845,5.962537607903932,4.817406164914696,2.9453133826117623,1.0164885412476996,1.018423014927896,2.0261863811379115,0.9540153794426696,4.972907186984219,8.8,0
7.65507768992763,5.69928956204567,4.642995528148045,3.014216916692757,0.9983310243354682,0.9912002459094058,1.8817752470261973,0.9165504315697496,5.1120840651403165,8.8,0
7.597647595990279,5.74110745125288,4.5692755695823255,3.0863223289415536,0.9971194467989064,1.0058008079296707,2.0930311916752675,0.7418367374484873,7.454015156806941,9.0,0
7.608644091529965,5.662887868686774,4.747930435356794,2.993686551944948,0.9920951170999306,1.0293436250141808,1.9954316043288864,0.7531140829397375,7.513611384562827,9.0,0
7.974939032710609,5.740734414189011,4.790518293885448,2.9565233369089365,0.9829248155482516,1.0091941191002998,2.0395421296986127,0.7205796936288066,7.307040999737445,9.0,0
7.490520211591443,5.537306450150768,4.533843521383698,3.0065691215668258,1.0225008784341605,0.9997316842615038,1.9095834097064857,0.7172530493711825,7.475580150505109,9.0,0
8.022783807534717,5.533886277927171,4.663276305355676,3.102351160832674,1.008999566826931,1.0112662614703285,2.004583377480955,0.8052790966185163,4.569984857725068,9.2,0
7.575339106890514,5.800098677995536,4.57093771641276,3.019702078369892,1.0035748192657266,0.9876741382361578,1.9990925889869744,0.7900393575573512,4.403546880582443,9.2,0
7.645543329791499,5.574145295567631,4.730342961624766,2.930994870350858,1.014239540459821,0.9763704186414236,1.97734820337676,0.7900063454685572,4.619263205598736,9.2,0
7.750864651624955,5.675862346509939,4.7468796274605545,2.873568459160219,0.9991373282071818,1.0399502835560952,2.005293860256107,0.8010866107067094,4.549331554167798,9.2,0
7.73613199698378,5.376283730396335,4.445225963675226,3.0126174774651693,0.9857024687620498,1.0262405052443984,1.987393024404591,0.6729165697000163,4.38587874748404,9.4,0
7.182049245016152,5.573777939824313,4.582668660291676,2.974532237413086,1.021577580780595,1.023970396730334,1.993184463065756,0.670114288655324,4.555555342244303,9.4,0
7.684414754733303,5.6346518558575776,4.690296136936346,2.930110314212337,1.0401751077237027,0.9808114449371628,2.029968917088034,0.6763771322782131,4.416276178145695,9.4,0
7.830488034302252,5.570779219823905,4.677272879672216,3.0142173233231557,0.9979008368799964,1.0272770064986538,1.990533647013924,0.6750696664941114,4.427708391724346,9.4,0
7.582678759305254,5.5435060016998765,4.358964757478811,2.956539448835508,0.9883655730159552,0.9926906081177156,1.944963456455938,0.7010771302647033,3.9417111611792377,9.6,0
7.615729988964287,5.589003344208927,4.486877058772007,2.976477612247756,1.0027984862407822,0.9836684978508884,1.9541267167133023,0.6966488588332548,3.9492149468822833,9.6,0
7.32547893003116,5.517826551496917,4.565674410640534,2.9047741019521056,1.0005025742243208,0.9956012840946732,2.0136603474214723,0.709816269492929,3.883712057605469,9.6,0
7.310641605171425,5.503236593314347,4.592590282777096,2.86714875773742,1.0069145315960315,1.0237924401057528,1.9938789649517517,0.7178128754435754,3.943754473528176,9.6,0
7.482095070108468,5.321699512986103,4.289009102242302,3.056565948073517,0.9803001014455112,0.9908894430999314,1.9445423098691923,0.515054321147311,3.986092983992431,9.8,0
7.390563420879653,5.541576809779418,4.540728457708163,3.019250978779477,1.004772015818569,1.0315553640986377,1.9572962492382049,0.5294176904182492,4.090615185641567,9.8,0
7.689680971400706,5.343605998572097,4.471888010250972,3.081487265752036,1.010161582103981,1.0039052606295955,1.9912926122626136,0.525931710187498,4.023057525047226,9.8,0
7.462143881252327,5.495316351685111,4.507073883550354,2.95931570829039,1.0106425874776288,1.0582848929683084,1.928920534426957,0.5334345327564137,3.939184792910488,9.8,0
7.485455581472849,5.405028207119409,4.467043220115737,2.7634773551314744,1.0038484223553636,1.0226410457682835,1.906228084248453,0.3404969851662457,6.548758079746004,10.0,0
7.559520816650287,5.268253419557116,4.326892250418731,2.7078806678838183,0.9996592422132508,1.0056613717602,2.0433806064371987,0.3183495459190012,6.62659647932325,10.0,0
7.401225722673774,5.377991558998549,4.27054185937413,2.7271646280923507,0.9517178429793792,1.0129678802247744,1.9403157665810804,0.3303528222232753,6.484508051147371,10.0,0
7.573091645799495,5.3807052417465,4.338915806619182,2.672643454417555,1.0254576553750934,1.010725939383618,1.9845748007390736,0.3284394536282342,6.296266978223892,10.0,0
7.356717233324325,5.113459534984281,4.364654496061848,2.7069455659945283,1.0477390359914784,0.977997288925514,1.9958935163583744,0.372947671446646,6.654880653237885,10.2,0
7.198353040469335,5.323740547407586,4.300171944651697,2.7152256168392848,0.9860263912803034,0.9982135919459854,1.9360779049889316,0.3609728888534501,6.558502687544839,10.2,0
7.266796765753992,5.128804605598012,4.385013740205226,2.7196843520516114,0.9854796980459803,0.9943879910632388,1.9399732238887264,0.3526170470799991,6.430084524973571,10.2,0
7.479349438592902,5.232212640565928,4.355058374702273,2.670930925045475,1.0049589512170376,0.997172089957124,2.03492226400371,0.3561493583648263,6.295571327499682,10.2,0
7.000999339483637,5.144684740629954,4.095078962463044,2.520510600783978,0.9906846367028384,1.0474921310005287,1.9304914161945148,0.6426065046874855,3.421043288354604,10.4,0
7.128950206984895,5.214707625227416,4.00466880451056,2.5118413058394014,1.0380581492454837,0.9909312340326282,2.01039231427222,0.6531189976720052,3.48852325499811,10.4,0
7.116341732851467,4.963323414012938,4.253843220429178,2.4943415795135557,0.9797463229722368,1.002531934205554,1.9766527857277527,0.6332361455217212,3.542440380927609,10.4,0
7.007272932769366,5.308920789751671,4.082594362298054,2.4668649295822367,1.0384589238813315,1.0225470952328484,2.0039041596998177,0.6279612132415844,3.462950938531008,10.4,0
7.110405094671169,5.103827369698639,4.092548583770671,2.4984583742957907,0.9957124978058978,0.9711604252871996,1.9793395703135668,0.6517071878910317,3.4042165991714217,10.6,0
7.0730831173614215,5.016385099265373,4.109130735210645,2.4805683409466592,1.0295478732994934,1.010131663083805,1.947527873368912,0.6485917185486554,3.445774370061655,10.6,0
7.0180665152643895,5.132009540050926,4.059676711582128,2.544642790816148,0.984509798769732,0.9876210689481728,1.973745164258076,0.6327598240210555,3.576943408888347,10.6,0
7.189289073692662,5.274414283309231,4.285946824719739,2.4484641484033838,1.0014083825465458,0.9764759936671312,1.9688957628900692,0.6319349438687274,3.425999158810321,10.6,0
6.852735781794221,4.985571562147975,3.9026625265290873,2.542106347956881,0.9816449292516496,1.0561913794019278,1.9819446219614243,0.7100212101623838,2.922279528932038,10.8,0
7.238852846137869,5.111950068080292,4.023753269658889,2.432659872561022,1.0042133375544924,0.9775713790796547,2.0584942105389343,0.7204743812976779,3.005726342309264,10.8,0
6.658907407145375,4.901658402134097,4.05502089052799,2.560644184586158,1.0221833962298426,0.9681597399551708,2.012062092272516,0.723400005769728,2.900499866065065,10.8,0
6.998893367847747,5.0273842398308455,3.975938833212261,2.40739190722994,0.9934860377985254,0.9934538913948996,1.9940771038180896,0.7010099751874724,2.973419270805512,10.8,0
6.994441120471423,5.044245460496971,3.9756458589714665,2.4795175535816,1.0018470807650892,0.9615816814820964,2.019081405089058,0.3099965087978377,6.004763223191707,11.0,0
7.134502803063226,4.804718446995175,3.842093290411283,2.513690192266176,0.9998576628974296,1.0034035388638387,1.981514916993102,0.3141189927802875,6.111916661158935,11.0,0
7.067757521153213,4.973917154159542,3.831384848990848,2.5384618104018566,1.0244345733243518,1.0128911682396795,1.9648143029053,0.3141775252407401,6.103263564955373,11.0,0
7.218234274691873,4.912389007577204,3.981883633236469,2.5373636025571726,1.0011482014287632,0.9776534479589744,2.016584651401068,0.313587702129654,6.01055554755972,11.0,0
7.030741889805191,4.974129409831427,3.912349199114421,1.963972312651493,0.9882535847447244,1.0002197102705506,2.035158161108036,0.5238283697629791,4.868970325023456,11.2,0
6.71471800891714,5.003269522525327,3.7150087578923023,1.9846179955992835,1.013227563797834,0.9871691455843432,2.0092512809097345,0.5367671505962814,5.067211431509644,11.2,0
7.066517929428721,4.930806630382539,3.787182466741565,2.04174973590882,1.0078675374050818,0.9720607588449772,2.0262247224468557,0.5282862052776887,5.141251306996101,11.2,0
7.143373837577744,5.02898854759184,3.811949696101151,1.9916387097589032,1.0135704790280005,0.9925844366107588,2.009422794825596,0.5494168911584102,4.943819345647441,11.2,0
6.913733016401302,4.8805634519275545,3.719100071294411,1.92686418754234,1.0145965757803106,1.0361782908416557,2.057013157738812,0.3579669747841638,5.072485467155619,11.4,0
7.199094888989298,4.954319001926134,3.8077100047294032,1.9196842779678127,1.005334723359533,0.9787288054113056,2.0079854007164606,0.3584470983758023,5.05428582244776,11.4,0
7.143431774559737,4.921682013828484,3.713593883812807,1.9137590782980007,0.9946717293184963,0.988368121314368,1.9379592235060776,0.3733523387967101,4.955002961813535,11.4,0
6.849396965789667,4.944542759435955,3.8814191449586506,2.0241174777502087,0.9973994787700302,1.012382100369297,1.9535635217445304,0.37023953874538,5.014732233048647,11.4,0
6.835162561827176,4.942674916923827,3.5438087912656,2.020392828311045,1.0110371754306258,0.9416568023860586,2.0476122281404048,0.4695236743464724,5.926074116933265,11.6,0
7.04149802872757,4.868905900925261,3.494434609262193,1.9562505175313327,1.0205381149264123,0.9615699093890272,2.0451596440384807,0.4994489790095771,5.856912560346908,11.6,0
6.819530120022229,4.80031201457204,3.662368214461814,2.029297112390513,0.9656167773224792,0.9919281576296132,1.9654725735062288,0.5129350996845937,5.83798810582483,11.6,0
7.121383616446533,4.8967371155273405,3.5163407227406336,1.9729090326396288,0.9839676231846308,0.97450763195969,2.003793074389215,0.4877208444930815,5.738356054951417,11.6,0
6.847604647022952,4.723320092751048,3.4473487392352737,1.9636358844558657,0.9825756785594836,1.0400192620318032,2.0022564626867827,0.4723064874845561,5.786832204438925,11.8,0
6.809753087558105,4.921099657734269,3.4282829760960896,2.0363225137407195,0.9759460682819794,0.9942726772826964,1.9765579344009776,0.4715446141981899,5.923141191377349,11.8,0
6.86261667946421,4.876859251005758,3.448592856982609,2.0194037547398844,1.0047677674967486,0.9982277210949366,1.9827816666615217,0.4774875138868879,5.971699890742299,11.8,0
6.857675774280021,4.910259622929036,3.61876106780796,1.946385751679152,1.015397137861107,0.962136576775238,2.008690926329145,0.484805778579522,6.058640222936077,11.8,0
6.722863760524332,4.647317749932511,3.5021733040341987,1.9899174873838656,0.9842804678413728,0.9942024876905026,2.007935246425057,0.4726347161421058,5.903246181517838,12.0,0
6.517727379362649,4.736728152452357,3.538172628337694,2.009266417769461,1.0193034098545732,1.0017573527416146,2.0156804374946304,0.4829168392861206,5.989015197669815,12.0,0
6.628869875030627,4.908130345884439,3.4683634314102543,1.9733648915551825,1.0086801964690022,1.0050370883059,1.9438083380955868,0.4907777112438118,5.9886966509579,12.0,0
6.5511352332410935,4.811745706749264,3.5437972900117307,1.9494183203220836,1.0355436568051546,1.013175947367324,1.9995921553749985,0.4952661005339691,6.0191157340595565,12.0,0
39.97753353991678,37.49817191182329,32.8782027855496,20.190641186929597,1.0002936027977942,2.952600818767944,2.005197194166643,5.242671127494976,34.066567976886056,1.0,180
38.822550118940654,38.42951656789543,30.808772595216404,20.082164210784505,0.9904383388449236,3.078494796412795,1.980261271633845,5.319245842496449,34.72216031113355,1.0,180
40.09099852278892,38.55999576349924,32.19933878438902,20.39862195379936,0.9801260424578704,3.0176755705535028,2.036905588911514,5.319303936637985,36.34151141371479,1.0,180
39.38924854615147,36.95184656897507,31.85368217947817,20.26417702661937,1.0099584586853876,3.006135399578845,1.9550817180357147,5.330521065799552,34.14270665564462,1.0,180
37.857622690958905,37.00020689619791,29.212541665011504,20.23324325426309,0.9901428046220888,2.891387200734791,1.975891225478791,2.660546498884228,33.01603688803779,1.2,180
38.27454635707679,35.19100376261804,29.22021879675611,19.876391053921505,0.9965425783511312,3.05787304093436,1.9987065152521917,2.748869750228545,33.86671707746539,1.2,180
36.746806860858285,34.015160084078694,27.852905543827067,19.89537523957344,1.0011299338398647,2.9228321977974723,1.9986210053986144,2.722924139426684,32.53391455587962,1.2,180
36.32280775198517,35.28508472561482,29.22449406304953,19.538530033440097,1.0031689610099948,3.061344433521628,2.031082918359636,2.7148164531864425,33.68177610693948,1.2,180
32.58463264033923,31.29004826540399,27.10535614549716,20.25176160244088,1.002637476262423,3.0491258370208465,2.003783701318308,1.929818171213004,32.55732657303465,1.4,180
32.46901242405163,29.878950690940137,27.833486142247857,20.102663492284908,0.9657102820900776,2.957170830166877,2.030874971694793,1.8893722804169504,31.67228069163576,1.4,180
33.92458202780656,30.35068196924204,26.56899718681239,20.08455459001931,1.0078090986410777,3.029780582060444,2.036449521782758,1.9075459875858976,32.31320572092058,1.4,180
32.828921888852044,31.03887294800677,27.058068457228963,20.086039254327616,1.0154507961516552,3.03330874091669,2.0017686801160077,1.8692532125722403,32.04330960516013,1.4,180
29.983189329062554,28.10818168469539,26.1032626535702,19.790490888583506,1.008445780382507,3.064107724034658,2.0039200765639755,1.1200298855502844,29.773176424961115,1.6,180
30.19445353339203,27.55266878285993,24.824237632428357,20.09957356415866,1.0169260812461547,3.019145690041414,2.0503645939733897,1.067967742353317,29.8006988820966,1.6,180
31.62239106436763,28.220773083687536,24.640259227010727,19.722294495100773,0.9811464017093732,3.0561941613514074,1.9854249082842703,1.072725556979049,29.96189479533704,1.6,180
30.43889544476456,27.525823307984947,24.462213856928493,20.08971892287264,1.012019185693998,3.0199519387858587,1.967621850836107,1.084498175620756,29.553683443742617,1.6,180
26.71836913181535,24.528023237639,23.59853284037993,20.25336861641094,1.0120998675135775,3.0748326852685466,2.1125059699295488,1.1493204187269384,27.586509114708814,1.8,180
26.66726545454576,24.574590188808653,22.504311706102293,19.88013877437785,0.975667925694212,3.0201025420522445,2.0020679328571447,1.2014484822213751,28.284327932917424,1.8,180
27.325623700850407,24.813295531588057,23.975725965211485,20.09377244659284,0.962750304947504,2.9398574552540278,1.9303798804388876,1.1904125641738013,27.931789074530133,1.8,180
26.74705012313429,26.005463056200256,23.25253212207538,20.29043934457853,0.981378530241158,2.9400513065201395,2.0014722199638784,1.194117569923723,26.960465522415905,1.8,180
23.91345262903222,22.006191716464343,19.91394033369155,15.739715068049064,0.9892092963615772,2.989388448385632,2.003632000944402,1.1031844564996025,25.54042810247544,2.0,180
23.85871309270692,21.79929127370924,20.17506226941372,16.195470373251474,0.9913159913348224,3.04742360861797,2.039183413646239,1.1181587649513591,25.88916045335991,2.0,180
23.58412025344347,22.0061152121063,20.004511078647464,15.968616458069596,0.9870147416077972,2.9108662798061355,2.0037071778411604,1.0732498466218556,25.042996740373813,2.0,180
23.61885909998455,21.51615032782849,20.09371934415076,16.048294888578077,1.0115856394264189,3.1311518259850577,2.011091581248434,1.1005747825219985,24.461219335566337,2.0,180
21.433760726164,20.63313177870933,15.704486470421342,9.79121118570627,0.999218021575669,2.9945884551973565,1.9638997397422684,0.6857913695817591,20.491750287060043,2.2,180
21.64536281211401,19.44253100625353,16.301629958687933,10.098459382387608,0.9875896275870268,2.905069979032385,1.9702150657424573,0.68924507877148,20.466268835953528,2.2,180
21.54390393105735,19.96619204739541,16.216046291166368,9.523746531975616,1.020675723358778,2.929052965667614,2.013279819738277,0.6934042274646283,20.433834556585538,2.2,180
22.24240672759316,19.049083803308008,15.748870640910082,10.027641025870654,0.9961004022776042,3.028656643785406,2.031574662226788,0.6983966339627296,19.91429002297821,2.2,180
19.261465195551807,17.836026750412266,15.124910444441689,9.781910549489904,1.0126254946024316,3.0545035978360384,2.005074679051834,1.455022824144316,21.43764112040681,2.4,180
20.754475663422436,17.803246394509785,14.4047570330613,10.247049477662053,1.0002671118308737,3.066296429337464,2.0110783470087745,1.5642153332225772,22.15972406899439,2.4,180
20.2789953247684,18.819874961480195,15.291301900787758,9.683932136430894,1.008933230305578,3.068488846086193,2.048108032261446,1.536775245525168,22.512575555882776,2.4,180
20.37109695982048,18.926106277309103,14.774999479125446,9.898519884719915,0.993877619030801,2.9705866709976734,1.964399170009456,1.464357059324114,21.808732231561823,2.4,180
19.140356062685967,16.832304572527992,12.464491484046984,6.001605097525903,1.025820581103683,3.015685224763798,2.0330562923957305,1.820108544252395,24.65701662331371,2.6,180
19.021256953050315,17.168681040750187,12.087919904076012,5.9654057450247215,1.0080996463784937,3.134063174771861,1.9891841223161824,1.825184629121288,24.60373389641733,2.6,180
19.433296246758825,17.003983582024585,11.427986711290233,6.062004338237816,0.9556105148275388,3.0881962338564737,2.0067789548477304,1.846188199519366,23.566986653673094,2.6,180
18.41004716014598,17.088656490608,11.991935174410523,5.94101510086114,1.0016932256146551,3.1660461535219357,2.0333810218947623,1.8479918495322525,24.40508970794561,2.6,180
18.53260637178679,15.939177064671762,10.547952512311436,5.977369664039279,1.01623471419993,2.941811976293096,1.9929453619804267,1.2228441103735426,18.540730530663527,2.8,180
18.269804525546363,16.20849299860607,11.136752288886612,5.9955300896937445,1.00395112565055,2.928888925168061,1.9125423208499768,1.2437220120325567,18.11663649225797,2.8,180
18.435335244633134,16.502827461146357,11.345399666699768,5.880237168804735,0.9929546993010048,3.028820057752883,2.101276187109687,1.276706460252105,18.402982978319415,2.8,180
17.860396336002257,15.71737611803036,11.173559734344312,5.867920648291877,0.995231272980394,2.9931133230598848,2.0637164835649124,1.2312035068866,17.12187013011386,2.8,180
17.17151118020524,14.790293444068825,10.508952515131927,5.989595435898945,0.9945259200836446,3.0474204349070817,1.938685404865892,0.7917277724007303,18.24625364872226,3.0,180
16.791211176382916,14.517357987219007,10.640396622083916,6.134771355652984,0.99910009584714,2.882349264091828,2.028238789867953,0.7734417938972851,18.11116773966534,3.0,180
16.698262299587668,14.652048214269907,10.407198896413265,5.978004293228729,0.9871158349922712,3.035322196692909,1.9821572248616464,0.8156830539467492,18.10122233963165,3.0,180
16.762830549757258,14.740218034850315,10.154025777200037,6.034887981344019,0.9929082490549728,2.857668268316189,1.978571405089224,0.7855834555319208,18.56724393318144,3.0,180
15.455110844194142,13.596421776074465,11.244193321483255,6.162811578895675,0.9851003412254872,2.9620748506314656,2.0246494158621324,0.7055589230052094,19.255522526197776,3.2,180
15.910165311727772,14.433969358516157,10.904139380603317,6.012112415008218,1.0226757854512802,3.126413083996689,1.9769260610740675,0.7397508164887453,20.728822088537136,3.2,180
15.512896231938743,14.287722699755069,10.775970582880523,6.012296684052378,0.9951476190519946,2.9425193039579263,1.960675922893669,0.7440909325909555,20.39821573126508,3.2,180
15.95848441497968,14.0196316844453,11.12565829458403,5.883405747238445,1.0147938501682583,3.049160585823585,2.104145051950016,0.7344336579797182,19.81676727933275,3.2,180
15.230689761472124,13.212967083917157,10.288701872097644,5.951620478768394,1.0108226167643608,2.95034494555592,1.9835786404793996,0.7012542987431579,16.318700379143124,3.4,180
14.818620415146135,12.520980039872024,10.001347726756212,5.848870431995264,0.9737366456360012,2.9907233544828054,1.952444793856096,0.6901614305625031,15.752292516805744,3.4,180
14.867847641745602,13.34385112619601,10.537685098601546,6.00193552983312,0.9907794743883832,2.9740060406026188,2.013109858798078,0.708178367026932,15.709562398047808,3.4,180
15.01094422668427,12.471778912147611,10.444036467107484,6.091457909035043,0.9943986274623824,3.108991619768406,1.964750462102558,0.7030441658142456,15.988536081066894,3.4,180
14.770311890436751,12.770733524990783,9.820992585881855,6.101755049215644,1.0275547247254948,0.9999549951099168,2.0326126428868654,0.6803156161415184,14.214467526763343,3.6,180
14.574450508947212,13.079208943638562,10.233285611969077,5.985349933443433,0.9561491301838518,0.9890385413351036,2.0492750053715723,0.6976324596609483,14.069695807629008,3.6,180
15.098565833362631,12.924020080447598,10.038674136740424,6.110330841197639,1.0304340090547393,1.007175921678125,2.036210376059758,0.6857616463914161,13.83159097276348,3.6,180
15.305203221564016,12.855348397138608,9.957756590909026,6.014848801729366,0.9882696869816008,1.000219657851648,2.0574397607107087,0.6976623130250561,13.520787515275472,3.6,180
14.23844008541922,12.73844427300536,9.359806189972208,5.7839425569918985,1.0378609777084509,1.0136478501962558,1.997199485647488,0.6253201365253659,14.303058540341686,3.8,180
14.14499274753531,12.582471080430937,9.50193271371616,6.029361831058481,1.002910296106712,0.9965006392657164,2.0418256048083707,0.6190966803155169,13.545860964487542,3.8,180
14.47572987514725,12.45528462870452,9.490285336672212,6.048927404354165,0.9935891924332492,1.0157496540877105,1.9981776749298183,0.6238623691337287,13.912670432568488,3.8,180
14.877902953849889,11.873195883816823,9.49396016360761,5.798506748685154,0.9978353332335406,0.9913274502969164,1.9165988681328048,0.6349018736394654,13.893589342586186,3.8,180
13.220619049453097,11.998138069422724,9.464041136749964,6.178814921075588,1.0071791288130294,1.0009211627715424,2.053126264835832,0.6305250797411491,14.317399236805173,4.0,180
